ItemId,Name,Url,Price,PromoPrice,Brand
119918,"Farmina N&D PUMPKIN сухой корм для собак средних и крупных пород, с курицей, тыквой и гранатом, 12кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/holistik/farmina-n-d-dog-gf-pumpkin-chicken-pomegranate-adult-medium-maxi-2-5-kg.html?offer=119918,12685,-1,Farmina
60046,"Eukanuba Adult Toy Breed корм для собак миниатюрных пород старше 1 года, с курицей, 3,5 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Eukanuba_suhoy_korm_dlya_vzroslyh_sobak_miniatyurnyh_porod_500_g_1015384.html?offer=60046,1759,-1,Eukanuba
104655,"Hill's Science Plan Сухой корм для щенков крупных пород с оптимальным содержанием энергии и минералов, с курицей, 12 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/suhoy-korm-hills-science-plan-dlya-shchenkov-krupnyh-porod-s-optimalnymsoderzhaniem-energii-i-mineralov-s-kuricey-12-kg.html?offer=104655,9557,-1,Hill's
137241,"Farmina Puppy Mini низкозерновой сухой корм для щенков мелких пород, с ягненком, спельтой, овсом и черникой, 7кг",https://4lapy.ru/catalog/sobaki/tovary-dlya-shchenkov/korm-zaveli-shchenka/farmina-n-d-nizkozernovoy-dog-yagnenok-spelta-oves-i-chernika-dlya-shchenkov-mini-800g.html?offer=137241,5655,-1,Farmina
45765,"PRO PLAN® Duo Delice сухой корм для взрослых собак для мелких и карликовых пород с говядиной, 2,5 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Pro_Plan_Duo_Delice_Adult_suhoy_korm_dlya_sobak_melkih_i_karlikovyh_porod_govyadina.html?offer=45765,2265,-1,PRO PLAN®
145553,"Grand Prix Small Adult Сухой корм для взрослых собак мелких пород, курица 0,8кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/korm-suhoy-dlya-sobak-melkih-porod-s-kuricey.html?offer=145553,455,364,Grand Prix
146261,"AlphaPet Сухой корм для собак крупных пород с говядиной, 12 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/korm-suhoy-dlya-sobak-krupnyh-porod-s-govyadinoy.html?offer=146261,7445,-1,AlphaPet
119929,"Farmina N&D PUMPKIN сухой корм для собак мелких пород, с ягненком, тыквой и черникой, 7кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/holistik/farmina-n-d-dog-gf-pumpkin-lamb-blueberry-adult-mini-800-gr.html?offer=119929,8149,-1,Farmina
45751,"Eukanuba Breed Specific Yorkshire Terrier корм для собак породы Йоркширский терьер старше 1 года, 1 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Eukanuba_suhoy_korm_dlya_sobak_porody_Yorkshirskiy_Terer_kuritsa.html?offer=45751,855,-1,Eukanuba
94479,"Royal Canin Urinary S/O корм для собак при заболеваниях дистального отдела мочевыделительной системы, 13 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/dieticheskiy-korm-sobaki/Royal_Canin_Urinary_SO_korm_dieticheskiy_suhoy_dlya_sobak_pri_MKB.html?offer=94479,13999,-1,Royal Canin
42376,"Royal Canin Maxi Adult 26 корм для собак от 15 месяцев до 5 лет,15 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Royal_Canin_Maxi_Adult_26_suhoy_korm_dlya_sobak_krupnyh_porod.html?offer=42376,7729,-1,Royal Canin
42628,"PRO PLAN® Veterinary Diets Veterinary Diets DRM Dermatosis сухой корм для щенков и взрослых собак при дерматозах и выпадении шерсти, 3 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/dieticheskiy-korm-sobaki/Purina_Veterinary_Diets_DRM_dieticheskiy_suhoy_korm_dlya_sobak_pri_dermatozah.html?offer=42628,4487,-1,PRO PLAN® Veterinary Diets
